feature,importance_mean,importance_std
bot_ang_gap_std,0.10410573318185186,0.0019440524642236458
top_dist_3,0.09273916373679239,0.0028544782405811268
raw_type_pair_code,0.09066417489756855,0.005026719800099827
raw_bot_type,0.07633253927942292,0.006588942062805951
top_z_std_5nn,0.059934300064664034,0.0025051888746164086
z_bot,0.04695496287346643,0.005113673370812578
raw_dz,0.04098740964398103,0.0019100971287332657
topB_dz_mean_3nn,0.038874649447426905,0.0027196003836061702
topA_dz_mean_3nn,0.037936327121311696,0.003062654739092323
top_zminus_bot_mean,0.035239416985827714,0.0010716533593136375
topA_z_mean_3nn,0.0340901859944158,0.002416755498122261
top_z_mean_5nn,0.03329487322743912,0.0033588408603067907
top_dist_2to5_std,0.030182313537992507,0.0024286045030960904
topB_z_mean_3nn,0.02493725207032447,0.001577891378226402
raw_dist_xy,0.024284209454948646,0.0012653701948971818
topB_d_mean_3nn,0.02364031256931091,0.0014634303044511099
topA_d_mean_3nn,0.02355407249828397,0.0009943920079595765
top_count_R1.5,0.02073109799217911,0.002913381441668104
top_dist_2to5_mean,0.020295246811239585,0.0013599084335620347
bot_nn6_mean,0.01992455210043121,0.001058185905635928
bot_nn3_mean,0.01932516688651833,0.001492681829239641
bot_nn6_std,0.016292376923577125,0.0008775963543978929
top_dist_5,0.011077196729453334,0.0007157280861424214
bot_nn1,0.01049723094657833,0.0012866637158271434
top_dist_2,0.010171815336500106,0.0007408932680432516
bot_strain,0.010047952995553996,0.0003894700977935714
top_count_A_R2.5,0.009590798884668551,0.002278633023341593
top_count_B_R2.5,0.007685423841378604,0.0012214826218979755
top_dist_4,0.007645184647604011,0.00045652965002479284
raw_sector6,0.005166791888401563,0.0008437598885569427
raw_dx,0.003948234546653077,0.0007127750248466884
top_count_R2.0,0.0031980645936570107,0.0005593308055139263
top_count_R1.0,0.0024884833557543657,0.00049779188113416
top_count_R2.5,0.0019616017413627783,0.00038425079006759077
raw_dy,0.0010351649144562957,0.0001910979620602244
bot_count_B_R2.5,0.000653076510760157,0.00010958288839080071
bot_count_A_R2.5,0.000512641768243534,0.00011928454210645619
